experiment,Temp,H2SO4,HBA_Conc,IPA,time,A,B,C,D,E,F,G,H,L,J
9,78,3.801042,0.9,2.456392746,600,0.054886927,0.000672323,0.01636845,0.007846713,0.026292162,0.018574578,0.011117982,0.009347903,0.000546855,0.003329905
9,78,3.801042,0.9,2.421169982,900,0.028601694,0.000836469,0.027888055,0.003228899,0.011219682,0.030451855,0.016070295,0.013511765,0.001212219,0.001370246
9,78,3.801042,0.9,2.409887025,1200,0.011760101,0.00106625,0.026299938,0.001782265,0.003705639,0.046346769,0.012192131,0.010251038,0.002288434,0.000756339
10,86,6.878076,0.9,2.624529392,0,0.181002027,0,0,0,0,0,0,0,0,0
10,86,6.878076,0.9,2.512229011,180,0.057913879,0.001981127,0.014964508,0.00598763,0.017310374,0.028925863,0.006730882,0.005659267,0.000400891,0.002540967
10,86,6.878076,0.9,2.457092117,300,0.012130663,0.00283986,0.02671555,0.001609206,0.002891068,0.05429525,0.008800099,0.007399047,0.00097973,0.000682898
10,86,6.878076,0.9,2.447046673,450,0.000636372,0.00415647,0.009677824,0.001181202,7.57E-05,0.080248513,0.001025233,0.000862007,0.003003613,0.000501266
10,86,6.878076,0.9,2.443598027,600,0,0.004872312,0.005674902,0.000714818,0,0.084982749,0.000139551,0.000117333,0.00502426,0.000303347
10,86,6.878076,0.9,2.443216592,900,0,0.005114852,0.005760434,0.000734242,0,0.085218757,0,0,0.005673315,0.00031159
10,86,6.878076,0.9,2.446862624,1200,0,0.005169164,0.00628363,0.000541161,0,0.083106987,0,0,0.005633646,0.000229652
11,75,5.611062,0.9,2.425427162,0,0.181002027,0,0,0,0,0,0,0,0,0
11,75,5.611062,0.9,2.364629605,180,0.111446981,0.000980498,0.013113012,0.00379993,0.00954926,0.01450206,0.002716889,0.002284337,0,0.001612574
11,75,5.611062,0.9,2.337307911,300,0.081670651,0.001219536,0.016738631,0.00600216,0.014795628,0.020203266,0.004986308,0.004192444,0.000137029,0.002547133
11,75,5.611062,0.9,2.286967284,450,0.038407207,0.001908288,0.025959103,0.003251859,0.011880873,0.03623993,0.008743918,0.00735181,0.00047884,0.001379989
11,75,5.611062,0.9,2.267177417,600,0.01999429,0.002219451,0.028299949,0.00195848,0.005207264,0.047882055,0.008919657,0.00749957,0.00099859,0.000831119
11,75,5.611062,0.9,2.259300724,900,0.006564417,0.003000688,0.016844882,0.001287778,0.000628265,0.067223371,0.003735287,0.003140597,0.003288465,0.000546494
11,75,5.611062,0.9,2.251784635,1200,0.000711265,0.003679656,0.007714227,0.001271705,0,0.079464299,0.001106682,0.000930489,0.003501979,0.000539673
12,70,3.18563568,0.45,4.284679988,0,0.159281784,0,0,0,0,0,0,0,0,0
12,70,3.18563568,0.45,4.27729494,600,0.153065259,0,0.001158192,0.0019916,0.005603732,8.85E-05,0.000148708,0.000125033,0,0.000845174
12,70,3.18563568,0.45,4.272586984,900,0.142830943,0,0.001753689,0.002617607,0.00838093,0.000225999,0.000502129,0.000422186,0,0.001110832
12,70,3.18563568,0.45,4.268749522,1200,0.112309459,0,0.001550813,0.003872979,0.010059289,0.000519668,0.001093676,0.000919553,0,0.001643574
13,80,3.18563568,0.45,4.284679988,0,0.159281784,0,0,0,0,0,0,0,0,0
13,80,3.18563568,0.45,4.263840881,600,0.128508517,8.97E-05,0.00250796,0.002332793,0.009720847,0.001602816,0.001771656,0.001489593,0,0.000989966
13,80,3.18563568,0.45,4.258729834,900,0.126426727,7.99E-05,0.002226382,0.003419853,0.013502412,0.001155721,0.002610006,0.002194471,0,0.001451281
13,80,3.18563568,0.45,4.242324427,1200,0.071929156,9.39E-05,0.003746164,0.008260208,0.025568284,0.001508974,0.003309755,0.002782813,5.76E-05,0.00350538
14,90,3.18563568,0.45,4.284679988,0,0.159281784,0,0,0,0,0,0,0,0,0
14,90,3.18563568,0.45,4.243825963,600,0.10035214,0.000115752,0.003350727,0.005813371,0.023061818,0.00221818,0.003296456,0.002771631,0.000134816,0.002467017
14,90,3.18563568,0.45,4.24008524,900,0.085007451,0.000112908,0.002980108,0.007328528,0.029260341,0.001756717,0.002909319,0.00244613,8.60E-05,0.003110003
14,90,3.18563568,0.45,4.208170486,1200,0.043026564,0.000148545,0.008067871,0.006681208,0.032457492,0.002876472,0.01002755,0.008431077,0.000170996,0.0028353
